,0
griflf_rc-1,332
griflr_rc-1,666
128_rc-1,252
128_rw-1,1039
roof_rw-1,7549
311_rc-2,95
beyu_rc-1,1199
002ha_rc-1,51
100_rc-1,198
roof_rw-7,10295
roof_rw-6,7842
248_hc-1,1997
046_hc-1,803
208_hc-1,1579
245_hc-1,3698
300_hc-1,1608
reynlds_rc-1,236
roof_rw-10,37850
024_hc-1,104
310_rc-2,526
loop_rc-1,1088
311_rc-1,373
roof_rw-3,4552
tkoff_hc-1,8760
0029_hc-1,24
mcdonalds_rc-1,4185
310_rc-1,96
0037_hc-1,183
roof_rw-2,3844
loop_rc-2,1267
204_hc-1,207
222_hc-1,158
119_rc-1,849
210_rc-1,544
117_hc-1,54
110_hc-1,91
131_rc-1,706
griflc_rw-1,692
002j_rc-1,396
postoff_rc-1,242
grifrf_rw-1,241
035p_hc-1,0
loop_rc-3,745
ctrlbth_rw-1,386
022_hc-1,129
042_rc-1,46
251_hc-1,2459
0058_rw-1,19
0012mr_hc-1,619
107_rc-1,574
202_hc-1,566
014t_hc-1,538
043_hc-1,138
216_hc-1,1859
0066_rc-1,58
roof_rw-4,13224
roof_rw-5,12356
113_rc-1,634
305_rc-1,232
002d_rw-1,269
306_rc-1,1233
339_rc-1,1239
340_rc-1,323
aubon_rc-1,3284
219_hc-1,328
306_rc-2,559
019_hc-1,178
grifstg_rw-1,328
246_hc-1,1355
003tc_rc-1,213
303_rc-1,2232
roof_rw-8,46880
127_hw-1,77
202_rc-2,85
310_rc-3,803
305_rc-3,150
pg4_ow-1,2017
bsmtlob_rc-1,41
techstr_rd-1,590
243_hc-1,976
001b_rc-1,468
0000_??-1,0
0045_hc-1,80
0037_rc-1,3120
104t_hc-1,1567
grifrr_rc-1,532
241_hc-1,1472
0059_hc-1,82
304_rc-1,1070
0020mr_hc-1,93
200_hc-1,355
311_rc-3,157
grifrc_rw-1,745
0024mr_hc-1,29
panda_rc-1,1066
somewhr_rc-1,1460
305_rc-4,2676
305_rc-2,1873
0050t_hc-1,88
0017tc_rc-1,0
0038b_hc-1,44
202_rc-3,121
333_rc-1,267
202_rc-1,358
roof_roof-11,0
